column,parameter,range,precision,recall,f1
db_outlier,std_dev_depth_100m,0-100,0.6956232164144059,0.04998724810960525,0.09327200184055023
db_outlier,std_dev_depth_100m,100-200,0.98739078293644,0.4569629888046684,0.6247791256084209
db_outlier,std_dev_depth_100m,200-300,0.9908738307095597,0.4753721541155867,0.6425031437236483
db_outlier,std_dev_depth_100m,300-400,0.9917355371900827,0.5125076266015863,0.6757843925985519
db_outlier,std_dev_depth_100m,400-500,1.0,0.475177304964539,0.6442307692307693
db_outlier,std_dev_depth_100m,500-600,1.0,0.3695652173913043,0.5396825396825397
db_outlier,std_dev_depth_100m,600-inf,0.0,0.0,0.0
db_outlier,normalized_distance_100m,-20--14,0.0,0.0,0.0
db_outlier,normalized_distance_100m,-14--11,0.0,0.0,0.0
db_outlier,normalized_distance_100m,-11--8,1.0,0.6,0.7499999999999999
db_outlier,normalized_distance_100m,-8--5,1.0,0.7991967871485943,0.8883928571428571
db_outlier,normalized_distance_100m,-5--2,0.9965394744901084,0.14516927716486958,0.2534217504565579
db_outlier,normalized_distance_100m,-2-0,0.7320475692198144,0.056193170418255056,0.10437439158581562
db_outlier,normalized_distance_100m,0-2,0.6460836032105332,0.04683331776467678,0.08733583428478224
db_outlier,normalized_distance_100m,2-5,0.9893048128342246,0.04542634857453023,0.08686411881726408
db_outlier,normalized_distance_100m,5-8,1.0,0.3387096774193548,0.5060240963855421
db_outlier,normalized_distance_100m,8-11,1.0,1.0,1.0
db_outlier,normalized_distance_100m,11-23,0.0,0.0,0.0
db_outlier,mean_depth_100m,-6500--6000,0.837997935707768,0.08125615538475597,0.1481472666497419
db_outlier,mean_depth_100m,-6000--5500,0.7489796950562384,0.043703958807569866,0.08258875424235261
db_outlier,mean_depth_100m,-5500--5000,0.6037712307188421,0.07183095455456347,0.12838757712889
db_outlier,mean_depth_100m,-5000--4500,0.6363562753036437,0.24143280647589205,0.35005512065298483
db_outlier,mean_depth_100m,-4500--4000,0.8407079646017699,0.8605072463768116,0.8504923903312445
db_outlier,mean_depth_100m,-4000--3500,0.0,0.0,0.0
db_outlier,mean_depth_100m,-3500--3000,0.0,0.0,0.0
db_outlier,mean_depth_100m,-3000--2500,0.0,0.0,0.0
db_outlier,mean_depth_100m,-2500--2000,0.0,0.0,0.0
db_outlier,mean_depth_100m,-2000--1500,0.0,0.0,0.0
lof_outlier,std_dev_depth_100m,0-100,0.32090815547515517,0.09567941293281798,0.14740864226244474
lof_outlier,std_dev_depth_100m,100-200,0.7696858156960694,0.27853540959690465,0.4090448633606185
lof_outlier,std_dev_depth_100m,200-300,0.8981016192071468,0.3521234676007005,0.5058971536405096
lof_outlier,std_dev_depth_100m,300-400,0.9585185185185185,0.3947528981086028,0.5592048401037165
lof_outlier,std_dev_depth_100m,400-500,0.9767441860465116,0.44680851063829785,0.6131386861313869
lof_outlier,std_dev_depth_100m,500-600,1.0,0.3695652173913043,0.5396825396825397
lof_outlier,std_dev_depth_100m,600-inf,0.0,0.0,0.0
lof_outlier,normalized_distance_100m,-20--14,0.0,0.0,0.0
lof_outlier,normalized_distance_100m,-14--11,0.0,0.0,0.0
lof_outlier,normalized_distance_100m,-11--8,1.0,0.6,0.7499999999999999
lof_outlier,normalized_distance_100m,-8--5,1.0,0.5582329317269076,0.7164948453608248
lof_outlier,normalized_distance_100m,-5--2,0.8165978908757451,0.16685031607028938,0.27708549414728106
lof_outlier,normalized_distance_100m,-2-0,0.33452080989751354,0.10039901107112409,0.1544448281139329
lof_outlier,normalized_distance_100m,0-2,0.284333849187948,0.08902682601973826,0.13559724847346122
lof_outlier,normalized_distance_100m,2-5,0.7667148075779457,0.11663521931298301,0.20247002209783618
lof_outlier,normalized_distance_100m,5-8,1.0,0.3387096774193548,0.5060240963855421
lof_outlier,normalized_distance_100m,8-11,1.0,1.0,1.0
lof_outlier,normalized_distance_100m,11-23,0.0,0.0,0.0
lof_outlier,mean_depth_100m,-6500--6000,0.305014291310593,0.12196908492001445,0.174256498354106
lof_outlier,mean_depth_100m,-6000--5500,0.3158481401690775,0.10041596980807907,0.15238497168971166
lof_outlier,mean_depth_100m,-5500--5000,0.4442132179168581,0.07446208427037178,0.1275443111598094
lof_outlier,mean_depth_100m,-5000--4500,0.5568153187200806,0.06789241663210605,0.12102791582809655
lof_outlier,mean_depth_100m,-4500--4000,0.9333333333333333,0.2536231884057971,0.39886039886039887
lof_outlier,mean_depth_100m,-4000--3500,0.0,0.0,0.0
lof_outlier,mean_depth_100m,-3500--3000,0.0,0.0,0.0
lof_outlier,mean_depth_100m,-3000--2500,0.0,0.0,0.0
lof_outlier,mean_depth_100m,-2500--2000,0.0,0.0,0.0
lof_outlier,mean_depth_100m,-2000--1500,0.0,0.0,0.0
kmeans_outlier,std_dev_depth_100m,0-100,0.41310345006537813,0.619895512372903,0.4958010301130223
kmeans_outlier,std_dev_depth_100m,100-200,0.7394105256684246,0.7626145697884621,0.7508333138177873
kmeans_outlier,std_dev_depth_100m,200-300,0.8265173836181496,0.767622591943958,0.7959820668520514
kmeans_outlier,std_dev_depth_100m,300-400,0.9126506024096386,0.7394752898108603,0.8169868554095046
kmeans_outlier,std_dev_depth_100m,400-500,0.9398148148148148,0.7198581560283688,0.8152610441767068
kmeans_outlier,std_dev_depth_100m,500-600,0.9565217391304348,0.4782608695652174,0.6376811594202898
kmeans_outlier,std_dev_depth_100m,600-inf,0.0,0.0,0.0
kmeans_outlier,normalized_distance_100m,-20--14,0.0,0.0,0.0
kmeans_outlier,normalized_distance_100m,-14--11,0.0,0.0,0.0
kmeans_outlier,normalized_distance_100m,-11--8,1.0,1.0,1.0
kmeans_outlier,normalized_distance_100m,-8--5,1.0,0.9196787148594378,0.9581589958158996
kmeans_outlier,normalized_distance_100m,-5--2,0.8915416061679249,0.7423302209592298,0.8101226381565815
kmeans_outlier,normalized_distance_100m,-2-0,0.42232004895874975,0.6340979823477929,0.5069816739469465
kmeans_outlier,normalized_distance_100m,0-2,0.3773385770810745,0.5955214048036128,0.46196411342686516
kmeans_outlier,normalized_distance_100m,2-5,0.8733412956632758,0.6851301403499703,0.7678709158787809
kmeans_outlier,normalized_distance_100m,5-8,1.0,0.7096774193548387,0.8301886792452831
kmeans_outlier,normalized_distance_100m,8-11,1.0,1.0,1.0
kmeans_outlier,normalized_distance_100m,11-23,0.0,0.0,0.0
kmeans_outlier,mean_depth_100m,-6500--6000,0.5512952063546789,0.5844710974316725,0.567398615705985
kmeans_outlier,mean_depth_100m,-6000--5500,0.3898692411404207,0.6320454985564896,0.48226156119740815
kmeans_outlier,mean_depth_100m,-5500--5000,0.4701432415448818,0.5955547267558802,0.5254697636345033
kmeans_outlier,mean_depth_100m,-5000--4500,0.5546828775943479,0.7344054805462114,0.6320158625247851
kmeans_outlier,mean_depth_100m,-4500--4000,0.8350983358547656,1.0,0.9101401483924155
kmeans_outlier,mean_depth_100m,-4000--3500,0.0,0.0,0.0
kmeans_outlier,mean_depth_100m,-3500--3000,0.0,0.0,0.0
kmeans_outlier,mean_depth_100m,-3000--2500,0.0,0.0,0.0
kmeans_outlier,mean_depth_100m,-2500--2000,0.0,0.0,0.0
kmeans_outlier,mean_depth_100m,-2000--1500,0.0,0.0,0.0
std_outlier,std_dev_depth_100m,0-100,0.5259882715268109,0.012136197976829848,0.02372498616399276
std_outlier,std_dev_depth_100m,100-200,0.657185628742515,0.006961403063651644,0.013776871175270673
std_outlier,std_dev_depth_100m,200-300,0.8333333333333334,0.007114711033274956,0.014108964619057954
std_outlier,std_dev_depth_100m,300-400,0.9565217391304348,0.013422818791946308,0.026474127557160047
std_outlier,std_dev_depth_100m,400-500,0.0,0.0,0.0
std_outlier,std_dev_depth_100m,500-600,0.0,0.0,0.0
std_outlier,std_dev_depth_100m,600-inf,0.0,0.0,0.0
std_outlier,normalized_distance_100m,-20--14,0.0,0.0,0.0
std_outlier,normalized_distance_100m,-14--11,0.0,0.0,0.0
std_outlier,normalized_distance_100m,-11--8,0.0,0.0,0.0
std_outlier,normalized_distance_100m,-8--5,0.0,0.0,0.0
std_outlier,normalized_distance_100m,-5--2,0.928921568627451,0.0016907641450934381,0.003375384629086197
std_outlier,normalized_distance_100m,-2-0,0.4754845397117209,0.008102870999974003,0.015934202596779537
std_outlier,normalized_distance_100m,0-2,0.5362206695646237,0.016485982786313715,0.03198848680581837
std_outlier,normalized_distance_100m,2-5,0.9853603603603603,0.022616247512212775,0.04421760113197059
std_outlier,normalized_distance_100m,5-8,1.0,0.27419354838709675,0.430379746835443
std_outlier,normalized_distance_100m,8-11,1.0,1.0,1.0
std_outlier,normalized_distance_100m,11-23,0.0,0.0,0.0
std_outlier,mean_depth_100m,-6500--6000,0.8443804034582133,0.00042498444382880525,0.0008495413056840982
std_outlier,mean_depth_100m,-6000--5500,0.5290049738011011,0.009030424617021958,0.01775771464846283
std_outlier,mean_depth_100m,-5500--5000,0.5217741200765282,0.031880645424654686,0.06008977706120892
std_outlier,mean_depth_100m,-5000--4500,0.5648614609571788,0.013778166904750934,0.026900181433776673
std_outlier,mean_depth_100m,-4500--4000,0.0,0.0,0.0
std_outlier,mean_depth_100m,-4000--3500,0.0,0.0,0.0
std_outlier,mean_depth_100m,-3500--3000,0.0,0.0,0.0
std_outlier,mean_depth_100m,-3000--2500,0.0,0.0,0.0
std_outlier,mean_depth_100m,-2500--2000,0.0,0.0,0.0
std_outlier,mean_depth_100m,-2000--1500,0.0,0.0,0.0
mad_outlier,std_dev_depth_100m,0-100,0.5280617388013126,0.204394632395123,0.29471512359956653
mad_outlier,std_dev_depth_100m,100-200,0.8960589237618864,0.5170150011100187,0.6556994610248573
mad_outlier,std_dev_depth_100m,200-300,0.9116621464548624,0.5151050788091068,0.658273884459365
mad_outlier,std_dev_depth_100m,300-400,0.9472450175849941,0.49298352654057354,0.6484751203852328
mad_outlier,std_dev_depth_100m,400-500,1.0,0.4219858156028369,0.5935162094763092
mad_outlier,std_dev_depth_100m,500-600,1.0,0.32608695652173914,0.4918032786885246
mad_outlier,std_dev_depth_100m,600-inf,0.0,0.0,0.0
mad_outlier,normalized_distance_100m,-20--14,0.0,0.0,0.0
mad_outlier,normalized_distance_100m,-14--11,0.0,0.0,0.0
mad_outlier,normalized_distance_100m,-11--8,1.0,0.6,0.7499999999999999
mad_outlier,normalized_distance_100m,-8--5,1.0,0.6947791164658634,0.8199052132701422
mad_outlier,normalized_distance_100m,-5--2,0.977951943157541,0.36349644671862386,0.5299973656566183
mad_outlier,normalized_distance_100m,-2-0,0.548243587034018,0.20835963522415876,0.30195968097374254
mad_outlier,normalized_distance_100m,0-2,0.47146681002332713,0.1908461897199986,0.2717073175591135
mad_outlier,normalized_distance_100m,2-5,0.9635957612657214,0.2955555842746,0.45236199640990393
mad_outlier,normalized_distance_100m,5-8,1.0,0.6129032258064516,0.76
mad_outlier,normalized_distance_100m,8-11,1.0,1.0,1.0
mad_outlier,normalized_distance_100m,11-23,0.0,0.0,0.0
mad_outlier,mean_depth_100m,-6500--6000,0.6297973778307508,0.17244505299251417,0.27075466971528517
mad_outlier,mean_depth_100m,-6000--5500,0.5319201239764826,0.21810480041826272,0.30936127241896516
mad_outlier,mean_depth_100m,-5500--5000,0.49838356790647553,0.18407331537188365,0.26884955788187104
mad_outlier,mean_depth_100m,-5000--4500,0.5622684113015285,0.2983426262998633,0.38983612150892655
mad_outlier,mean_depth_100m,-4500--4000,0.8350983358547656,1.0,0.9101401483924155
mad_outlier,mean_depth_100m,-4000--3500,0.0,0.0,0.0
mad_outlier,mean_depth_100m,-3500--3000,0.0,0.0,0.0
mad_outlier,mean_depth_100m,-3000--2500,0.0,0.0,0.0
mad_outlier,mean_depth_100m,-2500--2000,0.0,0.0,0.0
mad_outlier,mean_depth_100m,-2000--1500,0.0,0.0,0.0
iqr_outlier,std_dev_depth_100m,0-100,0.5873369739227665,0.09612783818792069,0.16521533395895466
iqr_outlier,std_dev_depth_100m,100-200,0.94638526826311,0.3960705337604262,0.5584322668634158
iqr_outlier,std_dev_depth_100m,200-300,0.9496887966804979,0.40083187390542907,0.5637315270935961
iqr_outlier,std_dev_depth_100m,300-400,0.969187675070028,0.4222086638194021,0.5881852953676158
iqr_outlier,std_dev_depth_100m,400-500,1.0,0.2978723404255319,0.45901639344262296
iqr_outlier,std_dev_depth_100m,500-600,1.0,0.21739130434782608,0.3571428571428571
iqr_outlier,std_dev_depth_100m,600-inf,0.0,0.0,0.0
iqr_outlier,normalized_distance_100m,-20--14,0.0,0.0,0.0
iqr_outlier,normalized_distance_100m,-14--11,0.0,0.0,0.0
iqr_outlier,normalized_distance_100m,-11--8,1.0,0.6,0.7499999999999999
iqr_outlier,normalized_distance_100m,-8--5,1.0,0.5140562248995983,0.6790450928381963
iqr_outlier,normalized_distance_100m,-5--2,0.9927859029447708,0.22469764765188996,0.366455311703099
iqr_outlier,normalized_distance_100m,-2-0,0.6185836344349787,0.09951046820809634,0.17144144997688834
iqr_outlier,normalized_distance_100m,0-2,0.5156425393921756,0.0867838899040586,0.14856408415127775
iqr_outlier,normalized_distance_100m,2-5,0.9817735161264759,0.16011010881645946,0.27532028845405954
iqr_outlier,normalized_distance_100m,5-8,1.0,0.5,0.6666666666666666
iqr_outlier,normalized_distance_100m,8-11,1.0,1.0,1.0
iqr_outlier,normalized_distance_100m,11-23,0.0,0.0,0.0
iqr_outlier,mean_depth_100m,-6500--6000,0.83786631952516,0.07841905786895685,0.14341533548020863
iqr_outlier,mean_depth_100m,-6000--5500,0.5959953728099892,0.10784045084470953,0.1826346643495713
iqr_outlier,mean_depth_100m,-5500--5000,0.5110795659601087,0.07882998226121292,0.136591764755055
iqr_outlier,mean_depth_100m,-5000--4500,0.650418060200669,0.11948758121745541,0.20188676796906427
iqr_outlier,mean_depth_100m,-4500--4000,0.0,0.0,0.0
iqr_outlier,mean_depth_100m,-4000--3500,0.0,0.0,0.0
iqr_outlier,mean_depth_100m,-3500--3000,0.0,0.0,0.0
iqr_outlier,mean_depth_100m,-3000--2500,0.0,0.0,0.0
iqr_outlier,mean_depth_100m,-2500--2000,0.0,0.0,0.0
iqr_outlier,mean_depth_100m,-2000--1500,0.0,0.0,0.0
lr_outlier,std_dev_depth_100m,0-100,0.7269655806683629,0.2330122431126813,0.35290790353899615
lr_outlier,std_dev_depth_100m,100-200,0.5976176862969316,0.9944816212616155,0.746586350162498
lr_outlier,std_dev_depth_100m,200-300,0.7311983305241191,0.99715411558669,0.8437138226441305
lr_outlier,std_dev_depth_100m,300-400,0.8553524804177546,0.9993898718730934,0.9217782779966235
lr_outlier,std_dev_depth_100m,400-500,0.912621359223301,1.0,0.9543147208121827
lr_outlier,std_dev_depth_100m,500-600,0.9787234042553191,1.0,0.989247311827957
lr_outlier,std_dev_depth_100m,600-inf,0.0,0.0,0.0
lr_outlier,normalized_distance_100m,-20--14,0.0,0.0,0.0
lr_outlier,normalized_distance_100m,-14--11,0.0,0.0,0.0
lr_outlier,normalized_distance_100m,-11--8,1.0,1.0,1.0
lr_outlier,normalized_distance_100m,-8--5,1.0,0.927710843373494,0.9625
lr_outlier,normalized_distance_100m,-5--2,0.9998505008222455,0.3878675404511976,0.5589169313053651
lr_outlier,normalized_distance_100m,-2-0,0.814522066439952,0.3407018622071991,0.4804422380168847
lr_outlier,normalized_distance_100m,0-2,0.5319275220684307,0.14015324456050382,0.22185240759933977
lr_outlier,normalized_distance_100m,2-5,0.0,0.0,0.0
lr_outlier,normalized_distance_100m,5-8,0.0,0.0,0.0
lr_outlier,normalized_distance_100m,8-11,0.0,0.0,0.0
lr_outlier,normalized_distance_100m,11-23,0.0,0.0,0.0
lr_outlier,mean_depth_100m,-6500--6000,0.6740073983424814,0.35070064414877644,0.461350587597766
lr_outlier,mean_depth_100m,-6000--5500,0.7061083170068244,0.2207516333563154,0.33634976728612437
lr_outlier,mean_depth_100m,-5500--5000,0.8186784499618006,0.2574916687077405,0.3917649757388619
lr_outlier,mean_depth_100m,-5000--4500,0.8929595570058341,0.2774219314010107,0.4233261845328083
lr_outlier,mean_depth_100m,-4500--4000,0.9625,0.27898550724637683,0.43258426966292135
lr_outlier,mean_depth_100m,-4000--3500,0.0,0.0,0.0
lr_outlier,mean_depth_100m,-3500--3000,0.0,0.0,0.0
lr_outlier,mean_depth_100m,-3000--2500,0.0,0.0,0.0
lr_outlier,mean_depth_100m,-2500--2000,0.0,0.0,0.0
lr_outlier,mean_depth_100m,-2000--1500,0.0,0.0,0.0
mlp_outlier,std_dev_depth_100m,0-100,0.7921612923259828,0.695304611187399,0.7405795293289825
mlp_outlier,std_dev_depth_100m,100-200,0.8628883201819862,0.7699248358758047,0.8137601608983491
mlp_outlier,std_dev_depth_100m,200-300,0.8550145741120587,0.8669001751313485,0.860916354149682
mlp_outlier,std_dev_depth_100m,300-400,0.8954372623574145,0.862111043319097,0.8784581908610507
mlp_outlier,std_dev_depth_100m,400-500,0.9288389513108615,0.8794326241134752,0.9034608378870674
mlp_outlier,std_dev_depth_100m,500-600,0.9777777777777777,0.9565217391304348,0.967032967032967
mlp_outlier,std_dev_depth_100m,600-inf,0.0,0.0,0.0
mlp_outlier,normalized_distance_100m,-20--14,0.0,0.0,0.0
mlp_outlier,normalized_distance_100m,-14--11,0.0,0.0,0.0
mlp_outlier,normalized_distance_100m,-11--8,1.0,1.0,1.0
mlp_outlier,normalized_distance_100m,-8--5,1.0,1.0,1.0
mlp_outlier,normalized_distance_100m,-5--2,0.9846045810540629,0.9820306121993764,0.9833159121974754
mlp_outlier,normalized_distance_100m,-2-0,0.7990957642649723,0.7110639250931037,0.7525140217522998
mlp_outlier,normalized_distance_100m,0-2,0.7568842147562913,0.6431450505491537,0.6953945158469085
mlp_outlier,normalized_distance_100m,2-5,0.9782290369816092,0.9799167722091551,0.9790721772618546
mlp_outlier,normalized_distance_100m,5-8,1.0,1.0,1.0
mlp_outlier,normalized_distance_100m,8-11,1.0,1.0,1.0
mlp_outlier,normalized_distance_100m,11-23,0.0,0.0,0.0
mlp_outlier,mean_depth_100m,-6500--6000,0.7886224196837234,0.7589917570423403,0.7735234336311965
mlp_outlier,mean_depth_100m,-6000--5500,0.8033519847391236,0.6785102546330928,0.7356723793114059
mlp_outlier,mean_depth_100m,-5500--5000,0.7610254356098538,0.7226876489056133,0.7413612356163354
mlp_outlier,mean_depth_100m,-5000--4500,0.7532735051353336,0.8032348739689416,0.7774523505099462
mlp_outlier,mean_depth_100m,-4500--4000,0.8548387096774194,0.9601449275362319,0.9044368600682593
mlp_outlier,mean_depth_100m,-4000--3500,0.0,0.0,0.0
mlp_outlier,mean_depth_100m,-3500--3000,0.0,0.0,0.0
mlp_outlier,mean_depth_100m,-3000--2500,0.0,0.0,0.0
mlp_outlier,mean_depth_100m,-2500--2000,0.0,0.0,0.0
mlp_outlier,mean_depth_100m,-2000--1500,0.0,0.0,0.0
rf_outlier,std_dev_depth_100m,0-100,0.8850307673812547,0.43713983210335455,0.5852228164960769
rf_outlier,std_dev_depth_100m,100-200,0.9201791131012567,0.5050902286638547,0.6521903825875078
rf_outlier,std_dev_depth_100m,200-300,0.9468902865129281,0.4449430823117338,0.6054062104400924
rf_outlier,std_dev_depth_100m,300-400,0.961892247043364,0.4466137888956681,0.6100000000000001
rf_outlier,std_dev_depth_100m,400-500,0.968,0.42907801418439717,0.5945945945945945
rf_outlier,std_dev_depth_100m,500-600,1.0,0.45652173913043476,0.626865671641791
rf_outlier,std_dev_depth_100m,600-inf,0.0,0.0,0.0
rf_outlier,normalized_distance_100m,-20--14,0.0,0.0,0.0
rf_outlier,normalized_distance_100m,-14--11,0.0,0.0,0.0
rf_outlier,normalized_distance_100m,-11--8,1.0,1.0,1.0
rf_outlier,normalized_distance_100m,-8--5,1.0,0.9919678714859438,0.995967741935484
rf_outlier,normalized_distance_100m,-5--2,0.9958144315632381,0.8989824187295625,0.9449241655158832
rf_outlier,normalized_distance_100m,-2-0,0.8860323627680174,0.47091138634683566,0.6149742442476643
rf_outlier,normalized_distance_100m,0-2,0.8568480877329819,0.3566695250020379,0.50367888729994
rf_outlier,normalized_distance_100m,2-5,0.9986204766562001,0.6267996071234718,0.7701823407743826
rf_outlier,normalized_distance_100m,5-8,1.0,0.9516129032258065,0.9752066115702479
rf_outlier,normalized_distance_100m,8-11,1.0,1.0,1.0
rf_outlier,normalized_distance_100m,11-23,0.0,0.0,0.0
